cohort,agent,t_offset_s
active,6,20.92
active,1,120.796
active,5,131.035
active,1,240.508
active,5,250.941
active,1,300.536
active,3,303.59
active,5,310.874
active,3,420.725
active,0,421.153
active,3,480.635
active,0,481.003
active,0,540.696
active,3,721.047
active,5,730.735
active,1,840.613
active,5,850.59
active,2,851.121
active,1,904.051
active,9,910.845
active,7,917.02
active,1,1020.525
active,0,1020.905
active,2,1030.94
active,4,1090.92
active,1,1201.085
active,8,1207.929
active,3,1261.141
active,1,1320.908
active,2,1331.319
active,3,1381.104
active,1,1441.066
active,5,1511.04
active,4,1570.579
active,5,1631.261
active,0,1680.594
active,4,1751.261
active,1,1803.81
active,5,1811.68
active,5,1870.697
active,0,1920.693
active,5,1930.583
active,2,1930.944
active,2,1991.234
active,3,2041.027
active,6,2105.429
active,9,2108.347
active,7,2115.013
active,4,2118.069
active,3,2220.752
active,1,2220.801
active,1,2280.666
active,3,2281.002
active,3,2405.279
active,6,2405.632
active,9,2408.879
active,3,2521.016
active,4,2530.53
active,0,2580.692
active,1,2641.034
active,3,2641.038
active,6,2707.39
active,8,2708.841
active,7,2716.799
active,3,2761.166
active,1,2820.714
active,3,2880.64
active,5,2890.659
active,4,2951.063
active,0,3000.649
active,1,3001.264
active,5,3190.689
active,2,3191.222
active,3,3241.063
active,3,3304.469
active,9,3308.742
active,7,3315.053
active,5,3370.91
active,0,3421.258
active,5,3430.942
active,0,3541.092
active,0,3600.594
active,2,3670.559
active,1,3721.128
active,1,3841.071
active,3,3841.122
active,6,3905.881
active,9,3908.707
active,2,3914.142
active,1,3960.987
active,3,3961.099
active,1,4020.947
active,5,4030.705
active,3,4080.64
active,0,4080.904
active,8,4207.977
active,9,4211.675
active,3,4260.969
active,3,4320.664
active,2,4331.37
active,0,4500.826
active,1,4504.056
active,3,4561.046
active,0,4620.805
active,0,4680.835
active,2,4690.791
active,2,4751.343
active,9,4808.858
active,4,4818.209
active,1,4861.001
active,3,4920.77
active,9,5108.929
active,5,5110.692
active,2,5114.873
active,4,5170.901
active,1,5280.761
active,2,5290.969
active,3,5340.59
active,0,5401.001
active,1,5404.281
active,3,5405.033
active,6,5407.818
active,5,5411.262
active,9,5411.374
active,4,5418.946
active,4,5530.996
active,0,5581.004
active,5,5590.942
active,1,5641.04
active,9,5710.457
active,5,5711.013
active,0,5760.825
active,1,5820.94
active,3,5820.981
active,5,5831.323
active,0,5940.769
active,1,5940.963
active,1,6000.603
active,3,6003.85
active,8,6006.618
active,2,6014.406
active,4,6130.621
active,2,6191.397
active,0,6300.731
active,3,6305.406
active,7,6316.683
active,4,6321.929
active,0,6360.939
active,2,6370.963
active,3,6421.078
active,5,6431.127
active,4,6490.579
active,0,6540.995
active,6,6605.457
active,9,6611.814
active,5,6611.816
active,2,6614.863
active,4,6619.49
active,1,6720.603
active,5,6730.613
active,1,6780.553
active,4,6790.563
active,5,6790.783
active,1,6840.93
active,0,6841.121
active,3,6904.266
active,6,6908.89
active,5,6911.173
active,1,6960.954
active,4,7031.017
active,2,7031.31
active,1,7081.061
active,2,7222.73
active,5,7270.903
active,2,7271.179
active,2,7331.246
active,3,7380.584
active,1,7381.323
active,4,7391.383
active,2,7451.147
active,8,7507.012
active,0,7560.681
active,4,7630.997
active,0,7680.637
active,4,7691.347
active,0,7740.778
active,1,7740.846
active,0,7860.621
active,1,7980.639
active,3,7981.007
active,0,8041.046
active,5,8171.106
active,3,8221.171
active,4,8231.322
active,9,8408.48
active,4,8418.078
active,3,8460.62
active,2,8471.275
active,3,8580.925
active,0,8580.932
active,5,8590.64
active,4,8591.265
active,5,8650.935
active,3,8820.52
active,4,8830.563
active,0,9001.434
active,6,9008.571
active,8,9008.975
active,9,9012.252
active,7,9017.948
active,0,9060.842
active,5,9070.805
active,2,9071.06
active,1,9120.691
active,0,9120.877
active,3,9240.879
active,3,9304.56
active,1,9360.894
active,4,9370.9
active,0,9421.014
active,5,9430.894
active,2,9431.229
active,1,9540.946
active,0,9541.077
active,4,9618.511
active,1,9660.938
active,3,9661.129
active,6,9907.649
active,5,9970.593
active,3,10021.095
active,3,10080.693
active,1,10140.76
active,4,10151.126
active,0,10200.981
active,1,10201.352
active,2,10214.625
active,7,10215.149
active,2,10270.704
active,1,10320.871
active,0,10320.874
active,2,10450.86
active,1,10501.12
active,7,10514.892
active,4,10630.631
active,0,10740.662
active,0,10801.438
active,1,10809.439
active,5,10816.289
active,4,10830.18
active,4,10871.061
active,2,10990.568
active,4,10991.138
active,0,11040.884
active,2,11050.58
active,4,11119.363
active,5,11230.78
active,4,11231.319
active,3,11280.898
active,2,11291.381
active,1,11401.278
active,0,11461.02
active,5,11591.416
active,2,11651.19
active,1,11761.004
active,4,11830.603
active,2,11831.05
active,5,11831.162
active,0,11941.172
active,2,11951.341
active,3,12120.787
active,5,12130.696
active,1,12300.614
active,2,12314.566
active,4,12371.363
active,4,12490.729
active,0,12540.787
active,0,12600.765
active,9,12612.104
active,4,12620.639
active,3,12660.621
active,4,12671.07
active,2,12671.072
active,5,12791.018
active,4,12791.166
active,9,12908.089
active,1,12960.759
active,0,12960.842
active,0,13020.875
active,4,13031.154
active,0,13080.5
active,1,13080.899
active,1,13141.006
active,8,13208.261
active,5,13211.581
active,5,13271.292
active,4,13331.348
active,1,13380.623
active,6,13509.928
active,1,13620.701
active,4,13630.88
active,0,13680.937
active,4,13871.306
active,5,13931.32
active,3,13980.762
active,2,13990.649
active,3,14041.029
active,5,14050.719
active,1,14160.54
active,2,14170.537
active,4,14351.152
active,3,14412.383
active,5,14415.036
active,8,14418.021
active,5,14470.84
active,2,14651.48
active,1,14760.587
active,0,14760.927
active,4,14770.613
active,0,14880.612
active,4,14951.155
active,2,15191.202
active,5,15191.203
active,1,15240.731
active,5,15490.797
active,4,15491.018
active,0,15540.964
active,9,15609.737
active,1,15720.624
active,0,15720.961
active,2,15731.292
active,0,15841.048
active,2,15851.174
active,5,15851.195
active,8,15906.968
active,4,16031.373
active,2,16031.382
active,0,16201.069
active,6,16208.648
active,7,16217.533
active,1,16321.081
active,3,16321.087
active,4,16450.827
active,2,16450.952
active,7,16515.142
active,4,16570.531
active,0,16620.801
active,1,16681.223
active,3,16741.173
active,6,16805.405
active,2,16814.765
active,4,16871.114
active,2,16930.526
active,3,17040.891
active,3,17105.481
active,7,17116.83
active,2,17231.194
active,3,17280.647
active,0,17280.894
active,2,17290.964
active,5,17340.755
active,0,17401.226
active,6,17405.663
active,9,17408.805
active,7,17415.054
active,3,17460.976
active,0,17461.18
active,0,17521.046
active,3,17521.193
active,4,17530.884
active,1,17580.778
active,4,17591.261
active,3,17640.726
active,1,17640.729
active,0,17640.914
active,4,17650.707
active,7,17715.232
active,4,17717.971
active,0,17821.296
active,5,17950.962
active,5,18015.012
active,0,18060.592
active,3,18060.782
active,0,18300.989
active,0,18420.722
active,2,18431.238
active,2,18551.23
active,5,18610.867
active,5,18671.077
active,4,18790.81
active,3,18841.047
active,4,18851.288
active,5,18971.371
active,2,19031.071
active,5,19091.25
active,3,19204.564
active,4,19330.863
active,1,19380.911
active,2,19390.582
active,3,19504.971
active,7,19515.582
active,4,19518.369
active,3,19560.494
active,1,19620.526
active,5,19630.807
active,0,19680.786
active,5,19691.041
active,1,19740.761
active,8,19808.143
active,7,19817.202
active,4,19930.951
active,3,19980.643
active,0,20040.837
active,8,20107.529
active,9,20107.929
active,3,20160.784
active,0,20160.788
active,3,20220.738
active,3,20280.502
active,0,20340.789
active,1,20401.276
active,2,20531.05
active,3,20580.582
active,5,20590.783
active,5,20650.582
active,4,20651.053
active,2,20715.717
active,4,20718.589
active,0,20821.0
active,3,20940.715
active,4,21018.981
active,3,21060.553
active,2,21130.689
active,0,21181.047
active,3,21181.185
active,1,21181.197
